Table Name,Count,Columns
t_usercategory,294,usercategoryid,userid,categoryid,rating,active,isdeleted,createdby,createdon,updatedby,updatedon
t_organization,1,organizationid,active,isdeleted,logourl,termsandconditions,privatepolicy,name,description
t_googlemaps_data,6096,googlemaps_data,isprocessed,rating,reviews,ratings.1,ratings.2,ratings.3,ratings.4,ratings.5,latitude,longitude,working_days.Thursday,working_days.Friday,working_days.Saturday,timezone,phone,address,website,borough,open_state,working_days.Sunday,working_days.Monday,title,place_id,data_id,google_mid,link,main_category,categories,working_days.Tuesday,working_days.Wednesday
t_location,311,parentlocationid,isdeleted,createdby,createdon,updatedby,updatedon,active,level,locationid,imageurl,locationname,locationkey,locationtype,countyname,latitude,longitude,zipcodes,timezone
t_atlasobscura_data,9884,geom,isprocessed,isdescriptionprocessed,descriptionlist,imagelist,atlasobscura_dataid,id,hide_from_maps,coordinates.lat,coordinates.lng,distance_from_query,title,subtitle,location,thumbnail_url,url
t_datascraping,0,total_images,total_rooms,location_hierarchy,reviews,isprocessed,rating,id,phone_simple,datascrapingid,link,detailed_address,featured_image,review_keywords,type,name,hotel_classified_by,ranking,reviews_per_rating,nearby_neighborhoods,nearby_transports,amenities,contenttype,title,description,website,email,phone,address,latitude_longitude
t_user,112,userid,organizationid,active,isdeleted,createdby,createdon,updatedby,updatedon,phonenumber,firstname,middlename,lastname,gender,profileimageurl,emailid
t_userlogin,0,updatedon,userid,createdon,updatedby,userloginid,active,isdeleted,createdby,emailid,password,salt
t_content_final_type1,3636,isfactsprocessed,is_long_story_processed,is_short_story_processed,longitude,isaudioconverted,minduration,iskeywordprocessed,maxduration,active,ispreferenceprocessed,cluster_label,isdeleted,isdescriptionprocessed,contentlevel,createdon,latitude,isprocessed,updatedon,long_story,short_story,audiourl,externalaudiourl,videourl,preferences,min_lat_min_long_max_lat_max_long,title_story_combined,dup_lat_long_list,dup_title_description_list,similarity_details,contentid,description_generated,organizationid,title,subtitle,description,keywords,externalid,externalkey,images,address,address_detailed,createdby,updatedby,locationids,imageurl,type,history,facts
t_category,15,parentcategoryid,organizationid,createdon,updatedby,updatedon,categoryid,active,isdeleted,createdby,title,description,iconurl,imageurl
t_stagecontent,3258,contentid,isimageprocessed,iskeywordsprocessed,isdescriptionprocessed,isaddressprocessed,latitude,longitude,islatlongprocessed,isdataprocessed,isneighborhoodprocessed,isboroughprocessed,iscityprocessed,title,neighborhood,borough,city,description,keywords,address,imageurl
